TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.110;1.180;1.680;1.900;2.000;2.000;2.000;2.000;1.430;1.320;1.190;1.170
10;0.000;0.220;2.360;3.360;3.800;4.000;4.000;4.000;4.000;2.870;2.640;2.380;2.330
15;0.000;0.330;3.550;5.050;5.700;6.000;6.000;6.000;6.000;4.300;3.960;3.570;3.500
20;0.000;0.440;4.730;6.730;7.600;8.000;8.000;8.000;8.000;5.730;5.290;4.760;4.660
25;0.000;0.550;5.910;8.410;9.500;10.000;10.000;10.000;10.000;7.170;6.610;5.950;5.830
30;0.000;0.660;7.090;10.090;11.400;12.000;12.000;12.000;12.000;8.600;7.930;7.140;6.990
35;0.000;0.770;8.270;11.770;13.300;14.000;14.000;14.000;14.000;10.030;9.250;8.330;8.160
40;0.000;0.880;9.450;13.450;15.200;16.000;16.000;16.000;16.000;11.460;10.570;9.530;9.330
45;0.000;0.990;10.640;15.140;17.100;18.000;18.000;18.000;18.000;12.900;11.890;10.720;10.490
50;0.000;1.090;11.820;16.820;19.000;20.000;20.000;20.000;20.000;14.330;13.210;11.910;11.660
55;0.000;1.200;13.000;18.500;20.100;21.230;21.430;21.230;21.040;15.760;14.540;13.100;12.820
60;0.000;1.310;13.200;19.320;21.200;22.460;22.860;22.460;22.090;17.200;15.860;14.290;13.990
65;0.000;1.420;13.400;20.130;22.310;23.690;24.290;23.690;23.130;18.630;17.180;15.480;15.150
70;0.000;1.530;13.600;20.950;23.410;24.920;25.710;24.920;24.180;20.060;18.500;16.670;16.320
75;0.000;1.640;13.800;21.770;24.510;26.150;27.140;26.150;25.220;20.690;19.090;16.850;16.320
80;0.000;1.750;14.000;22.590;25.610;27.380;28.570;27.380;26.270;21.310;19.670;17.030;16.320
85;0.000;1.860;14.200;23.400;26.710;28.610;30.000;28.620;27.310;21.950;20.240;17.430;16.530
90;0.000;1.970;14.400;24.220;27.810;29.840;31.430;29.850;28.360;22.590;20.810;17.830;16.740
95;0.000;2.080;14.600;25.040;28.920;31.070;32.860;31.080;29.400;23.230;21.380;18.230;16.940
100;0.000;2.190;14.800;25.860;30.020;32.300;34.290;32.310;30.450;23.870;21.950;18.630;17.150
105;0.000;2.300;15.000;26.670;31.120;33.520;35.710;33.540;31.490;23.790;21.870;18.430;16.850
110;0.000;2.410;15.000;26.780;32.000;34.750;37.140;34.770;32.540;23.710;21.790;18.240;16.540
115;0.000;2.520;15.000;26.410;32.000;35.520;38.000;36.000;33.580;23.630;21.710;18.050;16.240
120;0.000;2.630;15.000;26.040;32.000;36.160;38.000;36.000;33.840;23.550;21.630;17.860;15.940
125;0.000;2.740;15.000;25.670;32.000;36.810;38.000;36.000;33.570;23.470;21.550;17.660;15.640
130;0.000;2.850;15.000;25.300;32.000;37.450;38.000;36.000;33.300;23.390;21.460;17.470;15.330
135;0.000;2.960;14.330;24.740;32.000;38.100;38.000;36.000;33.030;23.310;21.380;17.280;15.030
140;0.000;3.060;13.660;23.440;31.340;38.740;38.000;36.000;32.760;23.230;21.300;17.080;14.730
145;0.000;3.170;12.990;22.130;29.710;37.700;38.000;36.000;32.490;23.150;21.220;16.890;14.420
150;0.000;3.280;12.310;20.830;28.070;35.540;36.420;36.000;32.220;23.070;21.140;16.700;14.120
155;0.000;3.390;11.640;19.520;26.430;33.380;34.450;34.260;31.640;22.980;21.060;16.510;13.820
160;0.000;3.500;10.970;18.220;24.790;31.220;32.470;32.520;29.870;22.900;20.980;16.310;13.520
165;0.000;3.610;10.300;16.920;23.150;29.060;30.500;30.790;28.090;22.820;20.900;16.120;13.210
170;0.000;3.720;9.630;15.610;21.510;26.900;28.530;29.050;26.310;22.740;20.820;15.930;12.910
175;0.000;3.830;8.960;14.310;19.870;24.740;26.550;27.310;24.540;22.660;20.740;15.740;12.610
180;0.000;3.920;8.420;13.270;18.560;23.010;24.980;25.920;23.120;22.600;20.670;15.580;12.360
